dataset_pid,has_funder_agency_ror_in_hdv,has_funderIdentifier_in_datacite,title,version_state,latest_version,first_version_created,major_version_publication_time,dataset_last_updated,file_count,citationText,dataverse_collection_alias,dataverse_name
doi:10.7910/DVN/AKUDJT,TRUE,,Augmented Texas 7000-bus synthetic grid,RELEASED,1,2025-05-15T22:59:59Z,2025-05-16T12:14:18Z,2025-05-16T12:14:18Z,5,"Aravena, Ignacio; Jiyu Wang, 2025, ""Augmented Texas 7000-bus synthetic grid"", https://doi.org/10.7910/DVN/AKUDJT, Harvard Dataverse, V1",opencoggrid,OPEN COG Grid
doi:10.7910/DVN/ANQXMQ,TRUE,,The Jean Nicolas Database,RELEASED,2.1,2025-06-09T08:18:23Z,2025-09-22T12:42:36Z,2025-12-11T09:35:12Z,43,"Gay, Victor, 2025, ""The Jean Nicolas Database"", https://doi.org/10.7910/DVN/ANQXMQ, Harvard Dataverse, V2, UNF:6:Y1pbh37jqsJ4eTt2OSrWzA== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/ANTREN,TRUE,,HVTN 302 safety manuscript (Annals of Internal Medicine),RELEASED,1.4,2025-04-02T19:30:28Z,2025-04-29T20:24:21Z,2026-05-22T18:59:55Z,8,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN 302 safety manuscript (Annals of Internal Medicine)"", https://doi.org/10.7910/DVN/ANTREN, Harvard Dataverse, V1, UNF:6:CfiYD1QV1NFGvfUCiZ6w3Q== [fileUNF]",hvtn302,HVTN 302 Dataverse
doi:10.7910/DVN/AVISZM,TRUE,,Varieties of Truth Commissions,RELEASED,1,2025-07-18T21:28:48Z,2026-02-25T14:58:56Z,2026-02-25T14:58:56Z,27,"Zvobgo, Kelebogile, 2026, ""Varieties of Truth Commissions"", https://doi.org/10.7910/DVN/AVISZM, Harvard Dataverse, V1, UNF:6:6GZzOTj0YyEAQQB0Nv+8Bw== [fileUNF]",zvobgo,Kelebogile Zvobgo Dataverse
doi:10.7910/DVN/AWNKPA,TRUE,,Replication Data for: Placentas from healthy women living in a cutaneous leishmaniasis endemic region in Mexico harbor Leishmania mexicana parasites: Potential implications for pregnancy and neonatal outcomes,DRAFT,DRAFT,2026-06-28T21:14:47Z,,2026-09-08T06:24:44Z,7,"Galindo-Sevilla, Norma; Fernández Urrutia, Liliana Aline; Mancilla Galindo, Javier; Armijos, Rodrigo; Weigel, M. Margaret, 2026, ""Replication Data for: Placentas from healthy women living in a cutaneous leishmaniasis endemic region in Mexico harbor Leishmania mexicana parasites: Potential implications for pregnancy and neonatal outcomes"", https://doi.org/10.7910/DVN/AWNKPA, Harvard Dataverse, DRAFT VERSION",harvard,Harvard Dataverse
doi:10.7910/DVN/AXD9YY,TRUE,,HVTN 505 Primary Manuscript (2013 NEJM),RELEASED,1.3,2025-04-11T18:46:27Z,2025-07-08T17:31:47Z,2026-06-02T20:56:42Z,9,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN 505 Primary Manuscript (2013 NEJM)"", https://doi.org/10.7910/DVN/AXD9YY, Harvard Dataverse, V1, UNF:6:ZPTBMWvYqNkoq3PWmR8tNg== [fileUNF]",hvtn505,HVTN 505 Dataverse
doi:10.7910/DVN/B3HNWS,TRUE,,"Geocoded Dataset of Brazil's Minha Casa, Minha Vida (MCMV) Faixa 1 Projects, 2009-2019",RELEASED,2.3,2026-01-11T17:08:54Z,2026-04-07T17:43:47Z,2026-06-19T16:56:42Z,2,"Wang, Yi; Hockman, Eliana; Augusto de Paula da Silva, Alexandre; Favarão Leão, Ana Luiza; Franco Silva, Milena; Nascimento Neto, Paulo; Florindo, Alex; Reis, Rodrigo, 2026, ""Geocoded Dataset of Brazil's Minha Casa, Minha Vida (MCMV) Faixa 1 Projects, 2009-2019"", https://doi.org/10.7910/DVN/B3HNWS, Harvard Dataverse, V2, UNF:6:mdjLpwI7fFuheFCmlmXmSg== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/B3IPSC,TRUE,,"A baseline characterization of aquaculture systems and livelihoods in Delta and Ogun states, Nigeria",RELEASED,2.2,2021-12-09T13:45:00Z,2022-01-04T05:59:57Z,2025-05-15T06:54:11Z,6,"Shikuku, Kelvin; Lozano, Denise, 2021, ""A baseline characterization of aquaculture systems and livelihoods in Delta and Ogun states, Nigeria"", https://doi.org/10.7910/DVN/B3IPSC, Harvard Dataverse, V2",worldfish,WorldFish Dataverse
doi:10.7910/DVN/B4AZ7H,TRUE,,A&T Gujarat Implementation Research Baseline Survey 2022: Panchayati Raj Institution Members,RELEASED,1,2024-12-05T16:58:28Z,2025-07-22T03:43:14Z,2025-07-22T03:43:14Z,3,"International Food Policy Research Institute (IFPRI), 2025, ""A&T Gujarat Implementation Research Baseline Survey 2022: Panchayati Raj Institution Members"", https://doi.org/10.7910/DVN/B4AZ7H, Harvard Dataverse, V1, UNF:6:XTKwC29Q5lps2tXHnVj9Eg== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/BFV5P1,TRUE,,"Dissemination of Genetically Improved Seed (Bangladesh, 2025)",RELEASED,2,2025-11-06T06:25:27Z,2025-12-11T02:34:47Z,2025-12-11T02:34:47Z,3,"Yeasin, Mohammed; Fakhruddin, Md.; Hamilton, Matthew, 2025, ""Dissemination of Genetically Improved Seed (Bangladesh, 2025)"", https://doi.org/10.7910/DVN/BFV5P1, Harvard Dataverse, V2",CGIP,CGIP Dissemination Data
doi:10.7910/DVN/BMUAHB,TRUE,,"A5324: A Randomized, Double-Blinded, Placebo-Controlled Trial Comparing Antiretroviral Intensification with Maraviroc and Dolutegravir with no Intensification or Intensification with Dolutegravir alone for the Treatment of Cognitive Impairment in HIV",RELEASED,4.1,2025-08-05T15:28:59Z,2026-02-09T19:00:03Z,2026-03-18T16:16:37Z,9,"ACTG Statistical and Data Analysis Center, 2025, ""A5324: A Randomized, Double-Blinded, Placebo-Controlled Trial Comparing Antiretroviral Intensification with Maraviroc and Dolutegravir with no Intensification or Intensification with Dolutegravir alone for the Treatment of Cognitive Impairment in HIV"", https://doi.org/10.7910/DVN/BMUAHB, Harvard Dataverse, V4",ACTG,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections 
doi:10.7910/DVN/BRJS4U,TRUE,,Polarisation in the United Kingdom in December 2025,RELEASED,2.1,2026-05-18T19:26:33Z,2026-05-20T01:17:55Z,2026-07-15T05:17:16Z,2,"Stanley, Ben, 2026, ""Polarisation in the United Kingdom in December 2025"", https://doi.org/10.7910/DVN/BRJS4U, Harvard Dataverse, V2, UNF:6:9XL9xiFaOjhoW6WBXmCRhw== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/BYW2BY,TRUE,,ORALIS-Oral Region Annotated Learning Image Set for AI-based Oral Health Research,RELEASED,2,2025-12-03T03:57:09Z,2025-12-29T09:06:05Z,2025-12-29T09:06:05Z,2,"P D, Dr Madankumar; Dr K Ranganathan; Dr Lavanya C; Dr Sivapathasundaram; Dr R Ganesh; Ilango, Paavai; Dr K Gnanambigai; KOLANJI, BAKYALAKSHMI, 2025, ""ORALIS-Oral Region Annotated Learning Image Set for AI-based Oral Health Research"", https://doi.org/10.7910/DVN/BYW2BY, Harvard Dataverse, V2",harvard,Harvard Dataverse
doi:10.7910/DVN/BZNHBC,TRUE,,"Replication Data for ""Looks Matter? Field Performance and Farmers' Preferences for Drought-Tolerant Maize in Kenya""",DRAFT,DRAFT,2025-07-09T15:24:17Z,,2025-07-09T19:26:40Z,0,"International Food Policy Research Institute (IFPRI), 2025, ""Replication Data for ""Looks Matter? Field Performance and Farmers' Preferences for Drought-Tolerant Maize in Kenya"""", https://doi.org/10.7910/DVN/BZNHBC, Harvard Dataverse, DRAFT VERSION",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/C2MHTH,TRUE,,Near-Earth Interplanetary Coronal Mass Ejections Since January 1996,RELEASED,5.1,2024-02-01T16:40:24Z,2026-07-30T21:39:07Z,2026-07-30T21:43:59Z,2,"Richardson, Ian; Cane, Hilary, 2024, ""Near-Earth Interplanetary Coronal Mass Ejections Since January 1996"", https://doi.org/10.7910/DVN/C2MHTH, Harvard Dataverse, V5",harvard,Harvard Dataverse
doi:10.7910/DVN/C44OU6,TRUE,,Dataset for: Exploring the Social Origins of Attention and Executive Functions:  A Cultural Perspective from Parent-Infant Interactions,RELEASED,2,2025-11-26T14:06:59Z,2026-05-26T22:35:10Z,2026-05-26T22:35:10Z,12,"Wei, Ran; Nelson, Charles, 2025, ""Dataset for: Exploring the Social Origins of Attention and Executive Functions: A Cultural Perspective from Parent-Infant Interactions"", https://doi.org/10.7910/DVN/C44OU6, Harvard Dataverse, V2",WellcomeLeapM4EFaD,Wellcome Leap M4EFaD
doi:10.7910/DVN/C76JXD,TRUE,,Polarisation in Poland in December 2025,RELEASED,2.1,2026-05-18T19:20:51Z,2026-05-19T13:19:23Z,2026-07-09T12:38:37Z,2,"Stanley, Ben, 2026, ""Polarisation in Poland in December 2025"", https://doi.org/10.7910/DVN/C76JXD, Harvard Dataverse, V2, UNF:6:OAbgQeN/PHCZOVHNZwDrQw== [fileUNF]",bdstanley,Ben Stanley Dataverse
doi:10.7910/DVN/CPVYYE,TRUE,,HVTN703/HPTN081 + HVTN704/HPTN085 Implementation Science,DRAFT,DRAFT,2026-08-12T19:15:28Z,,2026-08-31T19:04:14Z,0,"HIV Vaccine Trials Network Statistics and Data Management Center, 2026, ""HVTN703/HPTN081 + HVTN704/HPTN085 Implementation Science"", https://doi.org/10.7910/DVN/CPVYYE, Harvard Dataverse, DRAFT VERSION",amptrials,HVTN703/HPTN081 + HVTN704/HPTN085 AMP Trials Dataverse
doi:10.7910/DVN/D3927J,TRUE,,"Partisan Bias or Indifference? Panel Survey, Wave 2",RELEASED,2.1,2024-02-25T11:48:44Z,2026-05-19T12:56:49Z,2026-07-09T12:42:53Z,2,"Stanley, Ben, 2024, ""Partisan Bias or Indifference? Panel Survey, Wave 2"", https://doi.org/10.7910/DVN/D3927J, Harvard Dataverse, V2, UNF:6:H4BuEYunXapEq0zN0qGFcA== [fileUNF]",partisanbias,Partisan Bias or Indifference?
doi:10.7910/DVN/DAH1SO,TRUE,,PFAS Sampling Rates in Microporous Polyethylene Tube Samplers,RELEASED,2,2025-12-23T16:01:28Z,2026-08-24T13:25:08Z,2026-09-01T20:40:47Z,13,"Ganglbauer, Johanna; Dunn, Matthew; Snook, Jarod; Becanova, Jitka; Lohmann, Rainer, 2025, ""PFAS Sampling Rates in Microporous Polyethylene Tube Samplers"", https://doi.org/10.7910/DVN/DAH1SO, Harvard Dataverse, V2, UNF:6:e+Fc1nvlBCqys65YPTejvg== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/DAH1SO,TRUE,,PFAS Sampling Rates in Microporous Polyethylene Tube Samplers,DRAFT,DRAFT,2025-12-23T16:01:28Z,,2026-09-01T20:40:47Z,13,"Ganglbauer, Johanna; Dunn, Matthew; Snook, Jarod; Becanova, Jitka; Lohmann, Rainer, 2025, ""PFAS Sampling Rates in Microporous Polyethylene Tube Samplers"", https://doi.org/10.7910/DVN/DAH1SO, Harvard Dataverse, DRAFT VERSION, UNF:6:e+Fc1nvlBCqys65YPTejvg== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/DFY2AA,TRUE,,A New Mathematical Framework for Coupled Hydromechanical and Energy-Equivalent Stiffness Modeling of Pure Clays,DRAFT,DRAFT,2026-03-25T09:43:02Z,,2026-03-25T22:30:21Z,3,"Mukherjee, K, 2026, ""A New Mathematical Framework for Coupled Hydromechanical and Energy-Equivalent Stiffness Modeling of Pure Clays"", https://doi.org/10.7910/DVN/DFY2AA, Harvard Dataverse, DRAFT VERSION",harvard,Harvard Dataverse
doi:10.7910/DVN/DIVBSN,TRUE,,"Polish National Election Study 1997-2023, Harmonized Dataset/Polskie Generalne Studium Wyborcze 1997-2023, Zbiór Zharmonizowany",RELEASED,1,2026-08-07T00:05:31Z,2026-08-07T09:25:45Z,2026-08-10T09:02:08Z,13,"Cześnik, Mikołaj; Sychowiec, Maciej; Szczupska, Oliwia; Markowski, Radosław; Beilin, Felix, 2026, ""Polish National Election Study 1997-2023, Harmonized Dataset/Polskie Generalne Studium Wyborcze 1997-2023, Zbiór Zharmonizowany"", https://doi.org/10.7910/DVN/DIVBSN, Harvard Dataverse, V1, UNF:6:lEpxgYYW3K18IO/ZrUrutg== [fileUNF]",polnes,Polish National Election Study
doi:10.7910/DVN/DIVBSN,TRUE,,"Polish National Election Study 1997-2023, Harmonized Dataset/Polskie Generalne Studium Wyborcze 1997-2023, Zbiór Zharmonizowany",DRAFT,DRAFT,2026-08-07T00:05:31Z,,2026-08-10T09:02:08Z,13,"Cześnik, Mikołaj; Sychowiec, Maciej; Szczupska, Oliwia; Markowski, Radosław; Beilin, Felix, 2026, ""Polish National Election Study 1997-2023, Harmonized Dataset/Polskie Generalne Studium Wyborcze 1997-2023, Zbiór Zharmonizowany"", https://doi.org/10.7910/DVN/DIVBSN, Harvard Dataverse, DRAFT VERSION, UNF:6:lEpxgYYW3K18IO/ZrUrutg== [fileUNF]",polnes,Polish National Election Study
doi:10.7910/DVN/DJWILN,TRUE,,SUSADICA Farm Survey Data on Irrigated Agriculture in Kazakhstan and Uzbekistan (2019 and 2022),RELEASED,2,2026-07-28T13:34:53Z,2026-08-26T06:37:05Z,2026-08-26T06:37:05Z,8,"Tadjiev, Abdusame, 2026, ""SUSADICA Farm Survey Data on Irrigated Agriculture in Kazakhstan and Uzbekistan (2019 and 2022)"", https://doi.org/10.7910/DVN/DJWILN, Harvard Dataverse, V2, UNF:6:wuwqO/1ghe+rh1SZL2M1rw== [fileUNF]",atadjiev,Abdusame Tadjiev Dataverse
doi:10.7910/DVN/DOVZNY,TRUE,,The Effects of a Secondary School Scholarship on School Progression and Youth Outcomes: Baseline Survey,RELEASED,1,2025-12-02T17:03:28Z,2025-12-30T18:48:41Z,2026-06-24T20:04:11Z,14,"International Food Policy Research Institute (IFPRI), 2025, ""The Effects of a Secondary School Scholarship on School Progression and Youth Outcomes: Baseline Survey"", https://doi.org/10.7910/DVN/DOVZNY, Harvard Dataverse, V1, UNF:6:wqmBYdQyuiHeaK8jtbunyw== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/DOVZNY,TRUE,,The Effects of a Secondary School Scholarship on School Progression and Youth Outcomes: Baseline Survey,DRAFT,DRAFT,2025-12-02T17:03:28Z,,2026-06-24T20:04:11Z,14,"International Food Policy Research Institute (IFPRI), 2025, ""The Effects of a Secondary School Scholarship on School Progression and Youth Outcomes: Baseline Survey"", https://doi.org/10.7910/DVN/DOVZNY, Harvard Dataverse, DRAFT VERSION, UNF:6:wqmBYdQyuiHeaK8jtbunyw== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/DPKO3I,TRUE,,National Gentrification Intensity Map,RELEASED,3,2025-08-14T18:04:30Z,2026-01-23T20:42:19Z,2026-01-23T20:42:19Z,22,"Lauermann, John; Wu, Yuanhao; Feldman, Anna; Viggiani, Alice; Wang, Ziqi; Smash, Nathan, 2026, ""National Gentrification Intensity Map"", https://doi.org/10.7910/DVN/DPKO3I, Harvard Dataverse, V3, UNF:6:bmiU9X+x2cbElIpGYjrsjg== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/DZKXUG,TRUE,,ParlaIbero-DO: Parliamentary Speeches from the Dominican Republic (2001-2025),RELEASED,2,2026-08-18T13:57:02Z,2026-09-07T13:28:13Z,2026-09-07T13:28:13Z,17,"Rodrigues-Silveira, Rodrigo; Martínez Osorio, Sofía Anabel, 2026, ""ParlaIbero-DO: Parliamentary Speeches from the Dominican Republic (2001-2025)"", https://doi.org/10.7910/DVN/DZKXUG, Harvard Dataverse, V2",parlaibero,"ParlaIbero: Parliamentary Speeches from Latin America, Portugal and Spain"
doi:10.7910/DVN/E7QTZZ,TRUE,,SELEVER study: Endline survey,RELEASED,1.1,2025-02-24T21:30:50Z,2025-03-21T21:51:25Z,2025-07-01T15:22:28Z,269,"International Food Policy Research Institute (IFPRI), 2025, ""SELEVER study: Endline survey"", https://doi.org/10.7910/DVN/E7QTZZ, Harvard Dataverse, V1, UNF:6:KlGzFO76MrfDsFkJEHbEoA== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/E9P76Y,TRUE,,"Family Champions Project: Family, Relationship, and Marriage Education Works-Adult (FRAMEWorks) Study",RELEASED,1,2025-05-02T19:29:11Z,2025-08-14T22:44:25Z,2025-08-14T22:44:25Z,14,"Midwest Evaluation and Research, 2025, ""Family Champions Project: Family, Relationship, and Marriage Education Works-Adult (FRAMEWorks) Study"", https://doi.org/10.7910/DVN/E9P76Y, Harvard Dataverse, V1",HMRF2020-2025,2020-2025 Healthy Marriage & Responsible Fatherhood
doi:10.7910/DVN/EDLPED,TRUE,,"Gridded 12-direction sky view factor for the contiguous United States, 5-meter resolution with 30-meter ground-level aggregates",RELEASED,1.1,2025-07-31T13:39:52Z,2025-11-12T12:28:33Z,2025-11-12T14:57:42Z,1681,"Castro, Edgar; Schwartz, Joel, 2025, ""Gridded 12-direction sky view factor for the contiguous United States, 5-meter resolution with 30-meter ground-level aggregates"", https://doi.org/10.7910/DVN/EDLPED, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/EDY2V0,TRUE,,"Perceptions of Electoral Integrity, (PEI-11.0)",RELEASED,1,2025-06-04T20:00:06Z,2025-07-02T22:59:39Z,2025-07-02T22:59:39Z,5,"Garnett, Holly Ann; James, Toby S.; Caal-Lam, Sofia, 2025, ""Perceptions of Electoral Integrity, (PEI-11.0)"", https://doi.org/10.7910/DVN/EDY2V0, Harvard Dataverse, V1, UNF:6:0MPrJMXq9iz3OrFVOtnvHg== [fileUNF]",PEI,Perceptions of Electoral Integrity Dataverse
doi:10.7910/DVN/EEBFSX,TRUE,,Data for: A warm Rydberg atom-based quadrature amplitude-modulated receiver,RELEASED,2.1,2024-05-12T01:58:55Z,2024-05-14T10:37:26Z,2025-07-14T08:39:35Z,9,"Nowosielski, Jan; Jastrzębski, Marcin; Halavach, Pavel; Łukanowski, Karol; Jarzyna, Marcin; Mazelanik, Mateusz; Wasilewski, Wojciech; Parniak, Michał, 2024, ""Data for: A warm Rydberg atom-based quadrature amplitude-modulated receiver"", https://doi.org/10.7910/DVN/EEBFSX, Harvard Dataverse, V2",harvard,Harvard Dataverse
doi:10.7910/DVN/EEUIT6,TRUE,,HVTN 505 Sieve Analysis (2017 PLoS ONE),RELEASED,1.1,2025-04-23T20:23:59Z,2025-07-08T17:30:03Z,2026-08-17T16:17:22Z,3,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN 505 Sieve Analysis (2017 PLoS ONE)"", https://doi.org/10.7910/DVN/EEUIT6, Harvard Dataverse, V1, UNF:6:qxVsa8qt9L005DrXwWxi9Q== [fileUNF]",hvtn505,HVTN 505 Dataverse
doi:10.7910/DVN/EEUIT6,TRUE,,HVTN 505 Sieve Analysis (2017 PLoS ONE),DRAFT,DRAFT,2025-04-23T20:23:59Z,,2026-08-17T16:17:22Z,1,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN 505 Sieve Analysis (2017 PLoS ONE)"", https://doi.org/10.7910/DVN/EEUIT6, Harvard Dataverse, DRAFT VERSION, UNF:6:qxVsa8qt9L005DrXwWxi9Q== [fileUNF]",hvtn505,HVTN 505 Dataverse
doi:10.7910/DVN/EKSCCU,TRUE,,Replication Data for: Understanding Spatial Regression Models from a Weighting Perspective in an Observational Study of Superfund Remediation,RELEASED,2,2025-09-11T14:23:32Z,2025-12-16T22:57:52Z,2025-12-16T22:57:52Z,5,"Woodward, Sophie, 2025, ""Replication Data for: Understanding Spatial Regression Models from a Weighting Perspective in an Observational Study of Superfund Remediation"", https://doi.org/10.7910/DVN/EKSCCU, Harvard Dataverse, V2",CAFE,CAFE Research Coordinating Center for Health and Extreme Weather Collection
doi:10.7910/DVN/EU4ALR,TRUE,,Replication Data for: Optically-biased Rydberg microwave receiver enabled by hybrid nonlinear interferometry,RELEASED,2.1,2024-03-04T19:53:42Z,2025-06-18T17:47:14Z,2025-07-11T11:33:38Z,9,"Borówka, Sebastian; Mazelanik, Mateusz; Wasilewski, Wojciech; Parniak, Michał, 2024, ""Replication Data for: Optically-biased Rydberg microwave receiver enabled by hybrid nonlinear interferometry"", https://doi.org/10.7910/DVN/EU4ALR, Harvard Dataverse, V2",harvard,Harvard Dataverse
doi:10.7910/DVN/F6PQAA,TRUE,,"Annual PM2.5 Component Concentrations for the Contiguous United States, aggregated to common geographies (2000-2019)",RELEASED,2,2025-07-01T14:24:24Z,2025-07-09T17:44:50Z,2025-07-09T17:44:50Z,67,"Castro, Edgar; Amini, Heresh; Wei, Yaguang; Shtein, Alexandra; Schwartz, Joel, 2025, ""Annual PM2.5 Component Concentrations for the Contiguous United States, aggregated to common geographies (2000-2019)"", https://doi.org/10.7910/DVN/F6PQAA, Harvard Dataverse, V2",harvard,Harvard Dataverse
doi:10.7910/DVN/FCNTSN,TRUE,,Assessing the perceived relevance of environmental sustainability initiatives in smart campuses using item response theory (Supplemental material),RELEASED,1,2026-08-21T18:27:43Z,2026-08-21T21:11:54Z,2026-08-21T21:11:54Z,1,"Hochsteiner, Pedro; Tezza, Rafael; Borba, Eduardo Henrique de, 2026, ""Assessing the perceived relevance of environmental sustainability initiatives in smart campuses using item response theory (Supplemental material)"", https://doi.org/10.7910/DVN/FCNTSN, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/FEGPUJ,TRUE,,ACTG ART Interruption Studies: Viral Rebound after Treatment Interruption,RELEASED,1.1,2026-01-22T15:22:31Z,2026-01-22T15:26:42Z,2026-03-18T16:40:32Z,8,"ACTG Statistical and Data Analysis Center, 2026, ""ACTG ART Interruption Studies: Viral Rebound after Treatment Interruption"", https://doi.org/10.7910/DVN/FEGPUJ, Harvard Dataverse, V1",ACTG,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections 
doi:10.7910/DVN/FH0DSN,TRUE,,"BRIGHT Integrated Household Survey of Sri Lanka, 2024-2025",RELEASED,1.1,2026-02-24T20:28:35Z,2026-03-12T21:58:38Z,2026-04-08T17:03:22Z,133,"International Food Policy Research Institute (IFPRI), 2026, ""BRIGHT Integrated Household Survey of Sri Lanka, 2024-2025"", https://doi.org/10.7910/DVN/FH0DSN, Harvard Dataverse, V1, UNF:6:4/tIsniHn7unbfPUilmKsA== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/FNESP1,TRUE,,"BDCS surveys, Dec 2025",RELEASED,2.1,2026-05-18T19:44:57Z,2026-05-19T13:39:49Z,2026-07-09T12:37:36Z,6,"Stanley, Ben, 2026, ""BDCS surveys, Dec 2025"", https://doi.org/10.7910/DVN/FNESP1, Harvard Dataverse, V2, UNF:6:JkMoeJYkZEfQ6LEyaaxFVw== [fileUNF]",bdstanley,Ben Stanley Dataverse
doi:10.7910/DVN/FPQHBR,TRUE,,2022 Social Accounting Matrix for Nepal,RELEASED,1,2025-08-25T16:29:18Z,2025-09-25T19:34:12Z,2025-09-25T19:34:12Z,3,"International Food Policy Research Institute (IFPRI), 2025, ""2022 Social Accounting Matrix for Nepal"", https://doi.org/10.7910/DVN/FPQHBR, Harvard Dataverse, V1, UNF:6:JLx9kYJcc8y5yr00C1UPZQ== [fileUNF]",sam,Nexus SAM
doi:10.7910/DVN/FR0CCH,TRUE,,Health Professionals Follow-up Study Prostate Cancer Metabolomics Data,RELEASED,1,2026-02-18T18:37:58Z,2026-02-24T22:44:56Z,2026-02-24T22:44:56Z,3,"Mucci, Lorelei, 2026, ""Health Professionals Follow-up Study Prostate Cancer Metabolomics Data"", https://doi.org/10.7910/DVN/FR0CCH, Harvard Dataverse, V1, UNF:6:7Z99HG2bk7sG6fOZ5o8waw== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/FVI3QW,TRUE,,"PSoGA: Sentence-level and manifesto-level social group appeals in party election manifestos across eight European democracies, 1970–2025",RELEASED,1,2026-04-02T17:10:11Z,2026-04-02T17:46:15Z,2026-04-02T17:46:15Z,6,"Dolinsky, Alona O.; Huber, Lena Maria; Horne, Will, 2026, ""PSoGA: Sentence-level and manifesto-level social group appeals in party election manifestos across eight European democracies, 1970–2025"", https://doi.org/10.7910/DVN/FVI3QW, Harvard Dataverse, V1, UNF:6:H76JNXsOJmc1NGbxNmgbjQ== [fileUNF]",PSoGA,PSoGA
doi:10.7910/DVN/FWBFPE,TRUE,,Replication Data for: Pathways for Overcoming Commitment Problems in the Transition from Intrastate Conflict to Peace: A Fuzzy-Set Qualitative Comparative Analysis of 34 Comprehensive Peace Agreements,RELEASED,1.2,2026-02-09T20:56:12Z,2026-02-11T16:00:11Z,2026-02-11T16:34:23Z,7,"Kumek, İbrahim, 2026, ""Replication Data for: Pathways for Overcoming Commitment Problems in the Transition from Intrastate Conflict to Peace: A Fuzzy-Set Qualitative Comparative Analysis of 34 Comprehensive Peace Agreements"", https://doi.org/10.7910/DVN/FWBFPE, Harvard Dataverse, V1",uidergisi,Uluslararası İlişkiler-International Relations
doi:10.7910/DVN/FZBZDM,TRUE,,Bone-Conduction Hearing in Elephants and Humans: A Middle-Ear Comparative Study,RELEASED,2,2026-05-27T12:43:39Z,2026-07-23T09:16:16Z,2026-07-23T09:16:16Z,30,"Puria, Sunil, 2026, ""Bone-Conduction Hearing in Elephants and Humans: A Middle-Ear Comparative Study"", https://doi.org/10.7910/DVN/FZBZDM, Harvard Dataverse, V2, UNF:6:4xs1d1zElUm6Et3tUdaiRQ== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/GA2RPP,TRUE,,Factors associated with reactogenicity in preventive HIV vaccine efficacy trials,DRAFT,DRAFT,2026-08-25T22:29:11Z,,2026-08-25T22:29:11Z,0,"HIV Vaccine Trials Network Statistics and Data Management Center, 2026, ""Factors associated with reactogenicity in preventive HIV vaccine efficacy trials"", https://doi.org/10.7910/DVN/GA2RPP, Harvard Dataverse, DRAFT VERSION",xprotocol,HVTN Cross-Protocol Dataverse
doi:10.7910/DVN/GDESJI,TRUE,,HVTN703/HPTN081 + HVTN704/HPTN085 AMP Trials Primary Results,RELEASED,2.2,2024-10-03T21:48:15Z,2025-06-04T15:30:54Z,2026-06-02T20:59:45Z,12,"HIV Vaccine Trials Network Statistics and Data Management Center, 2025, ""HVTN703/HPTN081 + HVTN704/HPTN085 AMP Trials Primary Results"", https://doi.org/10.7910/DVN/GDESJI, Harvard Dataverse, V2, UNF:6:UxDIPerK+sD3gQUPA32Buw== [fileUNF]",amptrials,HVTN703/HPTN081 + HVTN704/HPTN085 AMP Trials Dataverse
doi:10.7910/DVN/GFLGII,TRUE,,Bulk Plankton Stable Isotope 13C and 14N,RELEASED,1,2024-09-26T14:14:03Z,2025-10-21T11:58:37Z,2025-10-21T11:58:37Z,1,"Harris, Joanna, 2025, ""Bulk Plankton Stable Isotope 13C and 14N"", https://doi.org/10.7910/DVN/GFLGII, Harvard Dataverse, V1",manta,Manta Ray Conservation
doi:10.7910/DVN/GH1AZH,TRUE,,Spatial downscaled future food demand V1,RELEASED,1,2025-07-29T10:56:28Z,2025-07-29T10:59:29Z,2025-07-29T10:59:29Z,2,"Song, Chun; Francis yego, 2025, ""Spatial downscaled future food demand V1"", https://doi.org/10.7910/DVN/GH1AZH, Harvard Dataverse, V1, UNF:6:Ug0WTGydcIA8aQcpw4JIuQ== [fileUNF]",harvard,Harvard Dataverse
