publisher,persistentUrl,majorVersionNumber,minorVersionNumber,versionCreateTime,license,termsOfUse,confidentialityDeclaration,specialPermissions,restrictions,citationRequirements,depositorRequirements,conditions,disclaimer
Harvard Dataverse,https://doi.org/10.7910/DVN/XRTYIC,1,1,2016-09-30 15:23:41+00:00,CC0,CC0 Waiver,,,,"Publications and research reports based on the IHIS database must cite it appropriately. The citation should include the following: 

Minnesota Population Center and State Health Access Data Assistance Center, Integrated Health Interview Series: Version 6.21. Minneapolis: University of Minnesota, 2016.

For policy briefs or articles in the popular press that use the IHIS database, we recommend that you cite the use of IHIS data as follows: 

IHIS, University of Minnesota, www.ipums.org",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/XRJ43D,1,1,2019-06-26 18:16:12+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/XKC4R4,1,1,2019-06-24 19:16:51+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/Y1UZTT,1,0,2021-03-18 14:14:38+00:00,CC0,CC0 Waiver,,,,Please cite this data upon re-use.,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/YAAV4X,4,0,2019-06-19 20:34:46+00:00,CC0,CC0 Waiver,,,,"Fakir, Adnan, 2018, ""Bangladesh Chars Tobacco Assessment Project (CTAP) 2018"", https://doi.org/10.7910/DVN/YAAV4X, Harvard Dataverse [Dataset].","The users should use following acknowledgement statement in all knowledge and research manuscripts emerging from the use of this dataset: ""The survey was designed and supervised by the Chars Tobacco Assessment Project (CTAP) Research Team and was administered by MOMODa Foundation, Dhaka, Bangladesh. The funding for the survey was provided by Bangladesh Center for Communication Programs (BCCP) as part of the Johns Hopkins Bloomberg Initiative, and BRAC University.

The Chars Tobacco Assessment Project (CTAP) Research Team request users of the data to acknowledge the dataset in all publications, conference papers, and manuscripts, as described under citation requirements.",,"Any information that would allow survey respondents to be identified has been deleted while retaining all other information. The data are provided 'as it is' and in no event shall CTAP be liable for any damages resulting from use of the data. While great effort was taken to obtain high-quality data, the accuracy or reliability of the data is not guaranteed or warranted in any way. As such, the user of these files will need to take care in handling missing observations, outliers, and violations of logical consistency.

"
Harvard Dataverse,https://doi.org/10.7910/DVN/XU8ZWB,1,1,2019-07-02 13:12:04+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/XVCKRS,3,0,2020-10-06 16:23:41+00:00,CC0,CC0 Waiver,,,,"Please cite our paper if you are using or referring to our data set or code: Rauchfleisch, Adrian and Kaiser, Jonas, The False Positive Problem of Automatic Bot Detection in Social Science Research (March 2020). Berkman Klein Center Research Publication No. 2020-3. Available at SSRN: https://ssrn.com/abstract_id=3565233",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/XYK2UE,1,0,2021-01-12 05:55:48+00:00,CC0,CC0 Waiver,,,This dataset is free for general research use.,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/XYKQKM,1,0,2018-03-04 15:53:57+00:00,CC0,CC0 Waiver,,,,"We are pleased to have other researchers make use of this data for their own algorithm development and understanding of respiratory monitoring with RF devices. We ask that you cite the following article if you make use of this data in your research.
<br><br>
<blockquote>
P. Hillyard, A. Luong, A. S. Abrar, N. Patwari, K. Sundar, R. Farney, J. Burch, C. A. Porucznik, and S. H. Pollard. “Experience: Cross-Technology Radio Respiratory Monitoring Performance Study”. In Proceedings of the 24th Annual International Conference on Mobile Computing and Networking (MobiCom 2018), New Delhi, India, to appear, 29 Oct. 2018. </blockquote>",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/WPKTKJ,1,1,2017-05-14 17:52:21+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/WQ90WX,1,1,2019-12-12 16:18:06+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/WOI8EU,1,1,2017-05-14 18:12:23+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/WUDP15,1,0,2019-05-31 19:00:16+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/WTUGFZ,1,2,2019-06-19 20:37:43+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/WTURMZ,1,2,2017-04-23 18:43:10+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/WHNXKY,2,1,2016-09-06 19:31:54+00:00,CC0,CC0 Waiver,,"PSI data are available upon request. Please complete the data request form and return it to PSI Research &amp; Metrics:
<a href=""http://psi.org/resources/research-metrics/publications/other-resource/data-request-form"">Data Request Form</a>",,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/WKJJ3Z,1,1,2019-11-21 17:12:13+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/WLXGEB,1,0,2019-07-15 19:06:30+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/X88LYH,1,2,2017-04-23 18:38:31+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/X7AYXQ,1,1,2018-07-14 15:51:48+00:00,CC0,CC0 Waiver,,,,"P. Hillyard, A. Luong, A. S. Abrar, N. Patwari, K. Sundar, R. Farney, J. Burch, C. A. Porucznik, and S. H. Pollard. “Experience: Cross-Technology Radio Respiratory Monitoring Performance Study”. In Proceedings of the 24th Annual International Conference on Mobile Computing and Networking (MobiCom 2018), New Delhi, India, to appear, 29 Oct. 2018. ",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/XE0JA7,1,0,2019-07-16 16:56:06+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/XAOOTR,1,0,2019-10-11 16:43:45+00:00,CC0,CC0 Waiver,,,,"Authors of any academic papers or published work based on this data are required to acknowledge the source using, where applicable, citations to the Twaweza web pages (www.twaweza.org) and to the dataverse. ",,,"WITHOUT LIMITING THE FOREGOING, USER BEARS NO RESPONSIBILITY FOR USES OF THE DATA BY DOWNLOADER, OR FOR INTERPRETATIONS OR INFERENCES BASED UPON SUCH USES. ANY FINDINGS AND CONCLUSIONS DERIVED FROM THESE DATA ARE SOLELY ATTRIBUTABLE TO THE DOWNLOADER AND DO NOT REFLECT THOSE OF USER."
Harvard Dataverse,https://doi.org/10.7910/DVN/XBNJD9,1,2,2019-10-22 21:39:56+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/WYA1S2,1,3,2019-06-26 18:53:51+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/WWBYML,1,3,2015-10-15 20:29:07+00:00,CC0,CC0 Waiver,,,,"International Food Policy Research Institute (IFPRI); University of California, Davis; and Nutridemics. 2015. Sustainability of impact: Dimensions of decline and persistence in adoption of a biofortified crop in Uganda. Washington, D.C.: International Food Policy Research Institute (IFPRI) [datasets]. <a href=""http://dx.doi.org/10.7910/DVN/WWBYML"">http://dx.doi.org/10.7910/DVN/WWBYML</a>",,,"<p>IFPRI adheres to the principle of unrestricted public access to its own final research outputs and will make such outputs freely available. The Institute encourages the use of the <b>Sustainability of impact: Dimensions of decline and persistence in adoption of a biofortified crop in Uganda</b> dataset; for detailed information on its use, please refer to <a href=""http://www.ifpri.org/ourwork/about/intellectual-property"">IFPRI’s Intellectual Property Policy</a>. The data files in this dataset are unit record or ‘raw’ data files. Information that would allow survey respondents to be identified has been deleted from the files, but all other information remains. IFPRI’s decision not to alter the contents of the data files  means that the user of these files will need to take care in handling missing observations, outliers, and violations of logical consistency. </p>

<p>The data are provided ‘as is’ and in no event shall IFPRI be liable for any damages resulting from use of the data. While great effort was taken to obtain high-quality data, the accuracy or reliability of the data is not guaranteed or warranted in any way.</P>
"
Harvard Dataverse,https://doi.org/10.7910/DVN/WVQ10L,1,2,2016-04-01 19:09:16+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/WVMZYW,1,0,2019-05-27 19:59:44+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/WX3N9M,1,0,2020-10-19 15:34:54+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/WWLQKQ,3,3,2020-01-03 22:23:19+00:00,CC0,CC0 Waiver,,,,"Please cite author names and PROSPERED project as dataset authors. 
Cite Canadian Institutes of Health Research as dataset funder. ",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/WZV20D,1,2,2018-12-12 21:01:17+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/ZJL2YR,1,0,2019-03-27 05:34:24+00:00,CC0,CC0 Waiver,,,,"<b>
Users are asked to explicitly cite the data.
</b>
",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/ZKGJAV,1,0,2018-05-10 23:32:15+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/Z834IK,1,2,2020-10-14 19:27:30+00:00,CC0,CC0 Waiver,,,,"Chodak G., Suchacka G., Chawla Y: HTTP-level e-commerce data based on server access logs for an online store. Computer Networks, Elsevier, 2020, 107589.",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/ZFLG25,1,1,2017-04-30 21:03:13+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/ZYRC8S,1,1,2019-06-27 16:59:26+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/ZXZMJB,1,3,2017-02-26 20:28:50+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/ZOMYWX,1,0,2016-05-09 20:43:54+00:00,CC0,CC0 Waiver,,"PSI data are available upon request. Please complete the data request form and return it to PSI Research &amp; Metrics:
<a href=""http://psi.org/resources/research-metrics/publications/other-resource/data-request-form"">Data Request Form</a>",,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/ZSYWHO,1,1,2017-04-30 21:12:57+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/ZRJ6NT,1,0,2018-10-19 21:40:54+00:00,CC0,CC0 Waiver,,,,"These data from the historic Mount Wilson HK-Project are openly available to the research community, subject to the understanding that any publication resulting from their use shall include an acknowledgment such as the following:  

“The HK_Project_v1995_NSO data derive from the Mount Wilson Observatory HK Project, which was supported by both public and private funds through the Carnegie Observatories, the Mount Wilson Institute, and the Harvard-Smithsonian Center for Astrophysics starting in 1966 and continuing for over 36 years.  These data are the result of the dedicated work of O. Wilson, A. Vaughan, G. Preston, D. Duncan, S. Baliunas, and many others.”
",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/Z80EZZ,1,0,2021-06-25 20:24:05+00:00,CC0,CC0 Waiver,,,"The database and related data are for non-commercial, academic research purposes only.",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/YJUIBI,1,1,2019-06-19 20:20:19+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/YPLHBB,1,0,2019-07-15 20:54:48+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/YNFNVG,1,0,2021-06-25 20:45:11+00:00,CC0,CC0 Waiver,,,"The database and related data are for non-commercial, academic research purposes only. ",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/YN89X6,1,2,2018-10-24 18:39:25+00:00,CC0,CC0 Waiver,,,,"Please cite our TD-HiLCT dataset as below: ''Wang, Ziheng; Ann Majewicz Fey, 2018, ""Replication Data for: Human-Centric Predictive Model of Task Difficulty for Human-in-the-Loop Control Tasks"", doi:10.7910/DVN/YN89X6, Harvard Dataverse, V1''",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/YEDPSU,1,0,2019-08-05 18:43:25+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/YBYGBK,4,0,2021-06-27 07:31:39+00:00,CC0,CC0 Waiver,,Please also check the CC_BY_4.0 license in the license folder. ,,,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/YZBRYX,1,3,2016-07-08 20:36:15+00:00,CC0,CC0 Waiver,,,,"International Food Policy Research Institute (IFPRI). 2013. Statistics of public expenditure for economic development (SPEED). Washington, DC: International Food Policy Research Institute (IFPRI) [datasets]. <a href="" http://dx.doi.org/10.7910/DVN/YZBRYX"">  http://dx.doi.org/10.7910/DVN/YZBRYX</a>","<p>The users of this dataset are required to cite both the dataset and the data paper associated with the dataset. The preferred citation is listed below.</p>
<p><b>Dataset:</b> International Food Policy Research Institute (IFPRI). 2013. Statistics of public expenditure for economic development (SPEED). Washington, DC: International Food Policy Research Institute (IFPRI) [datasets]. <a href=""http://dx.doi.org/10.7910/DVN/YZBRYX"">http://dx.doi.org/10.7910/DVN/YZBRYX</a></p>

<p><b>Data paper:</b>Yu, Bingxin. 2013. A database user manual for Statistics on Public Expenditures for Economic Development (SPEED). Washington, DC: International Food Policy Research Institute (IFPRI). <a href=""http://ebrary.ifpri.org/utils/getfile/collection/p15738coll2/id/127999/filename/128210.pdf"">http://ebrary.ifpri.org/utils/getfile/collection/p15738coll2/id/127999/filename/128210.pdf</a></p>",,
Harvard Dataverse,https://doi.org/10.7910/DVN/YZQTAH,1,2,2017-04-23 19:45:58+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/YST6XB,1,0,2021-06-25 20:02:18+00:00,CC0,CC0 Waiver,,,"The database and related data are for non-commercial, academic research purposes only. ",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/YQ2HFG,1,2,2019-12-11 18:38:32+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/U2HVB6,1,0,2019-05-30 18:15:59+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/TUXIHV,1,0,2018-03-04 18:54:39+00:00,CC0,CC0 Waiver,,,,"We are pleased to have other researchers make use of this data for their own algorithm development and understanding of respiratory monitoring with RF devices. We ask that you cite the following article if you make use of this data in your research.
<br><br>
<blockquote>
P. Hillyard, A. Luong, A. S. Abrar, N. Patwari, K. Sundar, R. Farney, J. Burch, C. A. Porucznik, and S. H. Pollard. “Experience: Cross-Technology Radio Respiratory Monitoring Performance Study”. In Proceedings of the 24th Annual International Conference on Mobile Computing and Networking (MobiCom 2018), New Delhi, India, to appear, 29 Oct. 2018. </blockquote>",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/UGPMRI,2,0,2020-03-30 19:13:29+00:00,CC0,CC0 Waiver,,,,"STATEMENT TO INCLUDE: “The MOSES study was funded by the Health Effects Institute and conducted by the MOSES study investigators (Drs. J. Balmes, P. Bromberg and M. Frampton and co-investigators Drs. M. Arjomandi, M.Hazucha, and D. Rich). The opinions and conclusions contained in this publication are solely those of the authors, and are not endorsed by the MOSES Study Investigators or HEI.”",,"TERMS AND CONDITIONS FOR PUBLICATIONS RESULTING FROM THIS RESEARCH: Prompt publication of the results of the Research Project is encouraged. 1. The Researcher agrees to send the MOSES study Principal Investigators a copy of any abstract and any manuscript accepted for publication in its final form no later than 15 days after acceptance. 2. The Researcher agrees to acknowledge the Health Effects Institute, and the MOSES investigators in all oral and written presentations and publications resulting from the analyses of the MOSES database as specified above in Citation Requirements. I have read and agree with the Terms and Conditions for Publications Resulting from This Research. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/UM1ITG,1,0,2019-08-05 17:04:44+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
Harvard Dataverse,https://doi.org/10.7910/DVN/UJN9C3,1,2,2016-04-01 17:53:47+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/UBRDCL,1,0,2019-05-24 23:54:00+00:00,CC0,CC0 Waiver,,,,,,,All downloads of data should take place on Harvard Dataverse. Data should not be posted on personal websites for access by others. The authors are fully responsible for ensuring that the data they upload is accurate and complete.
Harvard Dataverse,https://doi.org/10.7910/DVN/U8CUI7,1,0,2021-06-28 20:24:56+00:00,CC0,CC0 Waiver,,,"The database and related data are for non-commercial, academic research purposes only. ",,,,
Harvard Dataverse,https://doi.org/10.7910/DVN/0XDYNK,1,2,2019-12-11 18:41:35+00:00,CC0,CC0 Waiver,,,"<b>The data archived in the Harvard Government Dissertation Dataverse are restricted for use for five years post deposit date.</b>

I will use these data solely for the purposes stated in my application to use data, detailed in a written research proposal.","I will include a bibliographic citation acknowledging the use of these data in any publication or presentation in which these data are used. Such citations will appear in footnotes or in the reference section of any such manuscript. I understand the guideline in ""How to Cite This Dataset"" described in the Summary of this study.",,"The data are available without additional conditions other than those stated in the ""Restrictions"" Terms of Use above.",
Harvard Dataverse,https://doi.org/10.7910/DVN/12LY6Z,1,0,2021-01-25 05:18:33+00:00,CC0,CC0 Waiver,No,"Contact the producer of the datasets, Wookun Kim, at wookunkim@smu.edu for permissions to use and distribute.",,"Once permission to reuse and redistribute is granted, any articles and publications using any information obtained from these datasets should properly cite the data and also cite Kim (2020), which explains the datasets. 

Kim, Wookun. 2020. ""The valuation of local government spending: Gravity approach and aggregate implications."" UCLA Ziman Center Working Paper 2020-01: 1–88.",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/0R5WTU,3,1,2016-05-02 16:28:18+00:00,CC0,CC0 Waiver,,,,"International Food Policy Research Institute (IFPRI); and Data Analysis and Technical Assistance, Ltd. (DATA). 2015. Women's empowerment in agriculture (WEAI) pilot II for Bangladesh. Washington, D.C.: International Food Policy Research Institute (IFPRI) [datasets]. <a href=""http://dx.doi.org/10.7910/DVN/0R5WTU""> http://dx.doi.org/10.7910/DVN/0R5WTU</a>
",,,"<p>IFPRI adheres to the principle of unrestricted public access to its own final research outputs and will make such outputs freely available. The Institute encourages the use of the <b>Women's empowerment in agriculture (WEAI) pilot II for Bangladesh</b> dataset; for detailed information on its use, please refer to <a href=""http://www.ifpri.org/ourwork/about/intellectual-property"">IFPRI’s Intellectual Property Policy</a>. The data files in this dataset are unit record or ‘raw’ data files. Information that would allow survey respondents to be identified has been deleted from the files, but all other information remains. IFPRI’s decision not to alter the contents of the data files  means that the user of these files will need to take care in handling missing observations, outliers, and violations of logical consistency. </p>

<p>The data are provided ‘as is’ and in no event shall IFPRI be liable for any damages resulting from use of the data. While great effort was taken to obtain high-quality data, the accuracy or reliability of the data is not guaranteed or warranted in any way.</P>
"
Harvard Dataverse,https://doi.org/10.7910/DVN/1GUFI5,1,0,2021-03-06 16:33:52+00:00,CC0,CC0 Waiver,,,,Quote the entire file.,,Each time the database is used it must be cited accordingly.,
Harvard Dataverse,https://doi.org/10.7910/DVN/1HOVTU,1,1,2016-04-20 19:44:44+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/193ZDD,1,2,2016-04-01 17:41:47+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use.
"
Harvard Dataverse,https://doi.org/10.7910/DVN/03MTMJ,1,3,2016-08-17 19:58:28+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/TMTCZD,1,2,2016-08-17 20:05:35+00:00,CC0,CC0 Waiver,,,,,,,"The <i>American Journal of Political Science</i> and the Odum Institute for Research in Social Science are not responsible for the accuracy or quality of data uploaded within the <i>AJPS</i> Dataverse, for the use of those data, or for interpretations or conclusions based on their use."
Harvard Dataverse,https://doi.org/10.7910/DVN/0NTCW4,1,0,2018-03-04 18:52:13+00:00,CC0,CC0 Waiver,,,,"We are pleased to have other researchers make use of this data for their own algorithm development and understanding of respiratory monitoring with RF devices. We ask that you cite the following article if you make use of this data in your research.
<br><br>
<blockquote>
P. Hillyard, A. Luong, A. S. Abrar, N. Patwari, K. Sundar, R. Farney, J. Burch, C. A. Porucznik, and S. H. Pollard. “Experience: Cross-Technology Radio Respiratory Monitoring Performance Study”. In Proceedings of the 24th Annual International Conference on Mobile Computing and Networking (MobiCom 2018), New Delhi, India, to appear, 29 Oct. 2018. </blockquote>",,,
Harvard Dataverse,https://doi.org/10.7910/DVN/0EEL2U,1,0,2019-08-05 16:31:20+00:00,CC0,CC0 Waiver,,,,,,"All names of students have been redacted from these journals. Should you encounter a journal with a student's name that we missed during the redaction process, please contact the E4 dataverse manager: cathy@stemedinsights.com. ",
